pioneer dvd
F50A1DE2  left -
F50AED12  left +
C53AD926  right -
C53A59A6  tight +

F50AF708  enter
F50AC639  left
F50A26D9  right
F50A4FB0  up
F50ACF30  down

C53A7986  play
C53AF906  pause

F50A857A  1
F50A45BA  2
F50AC53A  3
F50A25DA  4
F50AA55A  5
F50A659A  6
F50AE51A  7
F50A15EA  8
F50A956A  9 
F50A05FA  0
 




